departamento,municipio,anio,mes,precipitacion_acumulada
CUNDINAMARCA,ANAPOIMA,2018,6,4.8
CUNDINAMARCA,ANAPOIMA,2018,7,1.0
CUNDINAMARCA,ANAPOIMA,2018,9,28.8
CUNDINAMARCA,ANAPOIMA,2018,10,179.2
CUNDINAMARCA,ANAPOIMA,2019,3,190.0
CUNDINAMARCA,ANAPOIMA,2019,4,112.6
CUNDINAMARCA,ANAPOIMA,2019,5,162.4
CUNDINAMARCA,ANAPOIMA,2019,6,44.4
CUNDINAMARCA,ANAPOIMA,2019,7,18.6
CUNDINAMARCA,ANAPOIMA,2019,8,7.2
CUNDINAMARCA,ANAPOIMA,2019,9,19.4
CUNDINAMARCA,ANAPOIMA,2019,10,156.0
CUNDINAMARCA,ANAPOIMA,2019,11,74.2
CUNDINAMARCA,ANAPOIMA,2019,12,79.8
CUNDINAMARCA,ANAPOIMA,2020,1,35.2
CUNDINAMARCA,ANAPOIMA,2020,2,65.4
CUNDINAMARCA,ANAPOIMA,2020,3,81.4
CUNDINAMARCA,ANAPOIMA,2020,4,24.2
CUNDINAMARCA,ANAPOIMA,2020,5,92.0
CUNDINAMARCA,ANAPOIMA,2020,6,69.2
CUNDINAMARCA,ANAPOIMA,2020,7,30.0
CUNDINAMARCA,ANAPOIMA,2020,8,40.4
CUNDINAMARCA,ANAPOIMA,2020,9,9.4
CUNDINAMARCA,ANAPOIMA,2020,10,12.4
CUNDINAMARCA,ANAPOIMA,2020,11,156.4
CUNDINAMARCA,ANAPOIMA,2020,12,74.2
CUNDINAMARCA,ANAPOIMA,2021,1,5.0
CUNDINAMARCA,ANAPOIMA,2021,2,118.0
CUNDINAMARCA,ANAPOIMA,2021,3,224.4
CUNDINAMARCA,ANAPOIMA,2021,4,58.2
CUNDINAMARCA,ANAPOIMA,2021,5,55.6
CUNDINAMARCA,ANAPOIMA,2021,6,140.0
CUNDINAMARCA,ANAPOIMA,2021,11,109.0
CUNDINAMARCA,ANAPOIMA,2021,12,184.79999999999998
CUNDINAMARCA,ANAPOIMA,2022,1,5.0
CUNDINAMARCA,ANAPOIMA,2022,2,68.2
CUNDINAMARCA,ANAPOIMA,2022,3,0.4
CUNDINAMARCA,ANAPOIMA,2022,4,248.6
CUNDINAMARCA,ANAPOIMA,2022,5,99.2
CUNDINAMARCA,ANAPOIMA,2022,6,108.2
CUNDINAMARCA,ANAPOIMA,2022,7,98.4
CUNDINAMARCA,ANAPOIMA,2022,8,14.4
CUNDINAMARCA,ANAPOIMA,2022,9,99.0
CUNDINAMARCA,ANAPOIMA,2022,10,304.6
CUNDINAMARCA,ANAPOIMA,2022,11,0.2
CUNDINAMARCA,ANAPOIMA,2022,12,5.6
CUNDINAMARCA,ANAPOIMA,2023,1,31.0
CUNDINAMARCA,ANAPOIMA,2023,2,86.4
CUNDINAMARCA,ANAPOIMA,2023,3,47.800000000000004
CUNDINAMARCA,ANOLAIMA,2023,1,0.0
CUNDINAMARCA,ANOLAIMA,2023,2,59.0
CUNDINAMARCA,ANOLAIMA,2023,3,163.1
CUNDINAMARCA,ANOLAIMA,2023,4,201.9
CUNDINAMARCA,ANOLAIMA,2023,5,54.5
CUNDINAMARCA,ANOLAIMA,2023,6,85.0
CUNDINAMARCA,ANOLAIMA,2023,7,103.1
CUNDINAMARCA,ANOLAIMA,2023,8,19.6
CUNDINAMARCA,ANOLAIMA,2023,9,4.3
CUNDINAMARCA,ANOLAIMA,2023,10,73.10000000000001
CUNDINAMARCA,ANOLAIMA,2023,11,87.2
CUNDINAMARCA,ANOLAIMA,2023,12,73.3
CUNDINAMARCA,APULO,2015,6,5.0
CUNDINAMARCA,APULO,2015,7,8.7
CUNDINAMARCA,APULO,2015,8,4.8
CUNDINAMARCA,APULO,2015,9,38.2
CUNDINAMARCA,APULO,2015,10,142.2
CUNDINAMARCA,APULO,2015,11,119.8
CUNDINAMARCA,APULO,2015,12,0.1
CUNDINAMARCA,APULO,2016,1,34.5
CUNDINAMARCA,APULO,2016,2,0.0
CUNDINAMARCA,APULO,2016,3,120.9
CUNDINAMARCA,APULO,2016,4,144.0
CUNDINAMARCA,APULO,2016,5,78.2
CUNDINAMARCA,APULO,2016,6,35.8
CUNDINAMARCA,APULO,2016,7,27.8
CUNDINAMARCA,APULO,2016,8,13.5
CUNDINAMARCA,APULO,2016,9,101.5
CUNDINAMARCA,APULO,2016,10,178.5
CUNDINAMARCA,APULO,2016,11,148.6
CUNDINAMARCA,APULO,2016,12,121.5
CUNDINAMARCA,APULO,2017,1,54.4
CUNDINAMARCA,APULO,2017,2,29.5
CUNDINAMARCA,APULO,2017,3,251.4
CUNDINAMARCA,APULO,2017,4,78.6
CUNDINAMARCA,APULO,2017,5,227.20000000000002
CUNDINAMARCA,APULO,2017,6,91.1
CUNDINAMARCA,APULO,2017,7,2.2
CUNDINAMARCA,APULO,2017,8,24.1
CUNDINAMARCA,APULO,2017,9,57.8
CUNDINAMARCA,APULO,2017,10,46.0
CUNDINAMARCA,APULO,2017,11,151.9
CUNDINAMARCA,APULO,2017,12,70.3
CUNDINAMARCA,APULO,2018,1,54.0
CUNDINAMARCA,APULO,2018,2,29.6
CUNDINAMARCA,APULO,2018,3,67.2
CUNDINAMARCA,APULO,2018,4,104.89999999999999
CUNDINAMARCA,APULO,2018,5,44.8
CUNDINAMARCA,APULO,2018,6,23.3
CUNDINAMARCA,APULO,2018,7,35.4
CUNDINAMARCA,APULO,2018,8,17.5
CUNDINAMARCA,APULO,2018,9,17.4
CUNDINAMARCA,APULO,2018,10,144.5
CUNDINAMARCA,APULO,2018,11,143.1
CUNDINAMARCA,APULO,2018,12,18.0
CUNDINAMARCA,APULO,2019,1,26.4
CUNDINAMARCA,APULO,2019,2,91.4
CUNDINAMARCA,APULO,2019,3,0.30000000000000004
CUNDINAMARCA,APULO,2019,6,4.6000000000000005
CUNDINAMARCA,APULO,2019,7,26.1
CUNDINAMARCA,APULO,2019,8,3.5999999999999996
CUNDINAMARCA,APULO,2019,9,82.8
CUNDINAMARCA,APULO,2019,10,99.9
CUNDINAMARCA,APULO,2020,1,0.0
CUNDINAMARCA,APULO,2020,2,1.9000000000000001
CUNDINAMARCA,APULO,2020,3,8.4
CUNDINAMARCA,APULO,2020,4,20.6
CUNDINAMARCA,APULO,2020,5,53.3
CUNDINAMARCA,APULO,2020,6,134.4
CUNDINAMARCA,APULO,2020,7,48.9
CUNDINAMARCA,APULO,2020,8,67.8
CUNDINAMARCA,APULO,2020,9,79.4
CUNDINAMARCA,APULO,2020,10,83.60000000000001
CUNDINAMARCA,APULO,2020,11,128.0
CUNDINAMARCA,APULO,2020,12,34.1
CUNDINAMARCA,APULO,2021,1,40.4
CUNDINAMARCA,APULO,2021,2,151.1
CUNDINAMARCA,APULO,2021,3,204.7
CUNDINAMARCA,BOJACÁ,2019,3,35.0
CUNDINAMARCA,BOJACÁ,2019,4,43.0
CUNDINAMARCA,BOJACÁ,2019,5,67.6
CUNDINAMARCA,BOJACÁ,2019,6,35.800000000000004
CUNDINAMARCA,BOJACÁ,2019,7,19.6
CUNDINAMARCA,BOJACÁ,2019,8,17.0
CUNDINAMARCA,BOJACÁ,2019,9,3.2
CUNDINAMARCA,BOJACÁ,2019,10,61.0
CUNDINAMARCA,BOJACÁ,2019,11,58.0
CUNDINAMARCA,BOJACÁ,2019,12,86.2
CUNDINAMARCA,BOJACÁ,2020,1,39.4
CUNDINAMARCA,BOJACÁ,2020,2,31.2
CUNDINAMARCA,BOJACÁ,2020,3,49.2
CUNDINAMARCA,BOJACÁ,2020,4,31.200000000000003
CUNDINAMARCA,BOJACÁ,2020,5,98.8
CUNDINAMARCA,BOJACÁ,2020,6,63.4
CUNDINAMARCA,BOJACÁ,2020,7,78.0
CUNDINAMARCA,BOJACÁ,2020,8,32.0
CUNDINAMARCA,BOJACÁ,2020,9,45.2
CUNDINAMARCA,BOJACÁ,2020,10,49.8
CUNDINAMARCA,BOJACÁ,2020,11,138.4
CUNDINAMARCA,BOJACÁ,2020,12,19.6
CUNDINAMARCA,BOJACÁ,2021,1,4.8
CUNDINAMARCA,BOJACÁ,2021,2,68.4
CUNDINAMARCA,BOJACÁ,2021,3,178.0
CUNDINAMARCA,BOJACÁ,2021,4,66.2
CUNDINAMARCA,BOJACÁ,2021,5,101.8
CUNDINAMARCA,BOJACÁ,2021,6,119.4
CUNDINAMARCA,BOJACÁ,2021,11,69.8
CUNDINAMARCA,BOJACÁ,2021,12,39.800000000000004
CUNDINAMARCA,BOJACÁ,2022,1,22.6
CUNDINAMARCA,BOJACÁ,2022,2,91.8
CUNDINAMARCA,BOJACÁ,2022,3,0.0
CUNDINAMARCA,BOJACÁ,2022,4,123.4
