,mes,departamento,municipio,temperatura_promedio,temperatura_minima,temperatura_maxima
0,2015-01,CUNDINAMARCA,CABRERA,10.827816411682893,4.3,17.7
1,2015-01,CUNDINAMARCA,GIRARDOT,29.05739247311828,20.6,38.7
2,2015-01,CUNDINAMARCA,GUASCA,4.592105263157895,0.0,46.4
3,2015-01,CUNDINAMARCA,LA CALERA,8.551748251748252,2.2,17.1
4,2015-01,CUNDINAMARCA,LENGUAZAQUE,10.331755424063116,0.0,20.0
5,2015-01,CUNDINAMARCA,MOSQUERA,13.017236467236467,0.1,23.1
6,2015-01,CUNDINAMARCA,NEMOCÓN,12.995536959553695,0.0,26.4
7,2015-01,CUNDINAMARCA,PASCA,15.369623655913978,9.1,21.9
8,2015-01,CUNDINAMARCA,PUERTO SALGAR,27.475,20.6,37.9
9,2015-01,CUNDINAMARCA,QUEBRADANEGRA,23.031317204301075,17.0,33.4
10,2015-01,CUNDINAMARCA,SAN CAYETANO,5.39217273954116,0.0,17.5
11,2015-01,CUNDINAMARCA,UBATÉ,12.839280774550483,0.5,24.5
12,2015-01,CUNDINAMARCA,VILLAPINZÓN,9.29297520661157,2.2,16.9
13,2015-01,CUNDINAMARCA,VILLETA,23.67798913043478,12.8,34.2
14,2015-01,CUNDINAMARCA,ZIPAQUIRÁ,9.008823529411766,0.3,18.4
15,2015-01,NARIÑO,BARBACOAS,22.713092979127133,19.6,30.3
16,2015-01,NARIÑO,CONTADERO,14.344769874476988,10.0,21.5
17,2015-01,NARIÑO,PASTO,15.309274193548388,10.2,23.5
18,2015-01,NARIÑO,PUERRES,6.88902627511592,2.6,11.4
19,2015-01,NARIÑO,TAMINANGO,24.16661237785016,18.4,33.2
20,2015-01,NARIÑO,TÚQUERRES,5.144377811094453,0.0,19.7
21,2015-02,CUNDINAMARCA,CABRERA,11.28054919908467,6.1,17.1
22,2015-02,CUNDINAMARCA,GIRARDOT,29.402831594634872,23.1,38.4
23,2015-02,CUNDINAMARCA,GUASCA,5.449022633744856,0.0,21.0
24,2015-02,CUNDINAMARCA,LA CALERA,8.332974137931034,0.5,18.6
25,2015-02,CUNDINAMARCA,LENGUAZAQUE,11.465251572327043,4.0,20.3
26,2015-02,CUNDINAMARCA,MOSQUERA,13.534510433386838,1.2,23.8
27,2015-02,CUNDINAMARCA,NEMOCÓN,13.083630952380954,0.3,25.2
28,2015-02,CUNDINAMARCA,PASCA,15.630357142857143,10.5,22.1
29,2015-02,CUNDINAMARCA,PUERTO SALGAR,27.21473214285714,21.8,35.9
30,2015-02,CUNDINAMARCA,QUEBRADANEGRA,23.332436472346785,18.1,32.0
31,2015-02,CUNDINAMARCA,SAN CAYETANO,12.666119402985073,6.6,19.7
32,2015-02,CUNDINAMARCA,UBATÉ,13.724056603773585,4.9,26.6
33,2015-02,CUNDINAMARCA,VILLAPINZÓN,9.658517350157728,3.6,18.5
34,2015-02,CUNDINAMARCA,VILLETA,24.301490312965722,17.9,33.2
35,2015-02,CUNDINAMARCA,ZIPAQUIRÁ,9.268682170542636,1.4,20.0
36,2015-02,NARIÑO,BARBACOAS,22.989136904761907,19.2,30.4
37,2015-02,NARIÑO,CONTADERO,15.895064377682404,9.5,26.3
38,2015-02,NARIÑO,PASTO,14.716368078175897,5.4,23.7
39,2015-02,NARIÑO,PUERRES,7.410714285714286,3.2,15.5
40,2015-02,NARIÑO,TAMINANGO,23.816987740805605,18.9,33.0
41,2015-02,NARIÑO,TÚQUERRES,9.879974651457541,0.0,21.1
42,2015-03,CUNDINAMARCA,CABRERA,11.25,9.5,13.0
43,2015-03,CUNDINAMARCA,GIRARDOT,29.28011049723757,21.7,38.7
44,2015-03,CUNDINAMARCA,GUASCA,8.211519434628975,0.0,20.3
45,2015-03,CUNDINAMARCA,LA CALERA,9.042424242424243,3.1,17.0
46,2015-03,CUNDINAMARCA,LENGUAZAQUE,11.99918144611187,0.0,19.8
47,2015-03,CUNDINAMARCA,MOSQUERA,13.941543026706231,3.4,24.0
48,2015-03,CUNDINAMARCA,NEMOCÓN,13.964227642276423,1.3,25.5
49,2015-03,CUNDINAMARCA,PASCA,15.626075268817203,11.2,21.6
50,2015-03,CUNDINAMARCA,PUERTO SALGAR,27.49543010752688,21.8,37.2
51,2015-03,CUNDINAMARCA,QUEBRADANEGRA,23.133467741935483,18.0,33.3
52,2015-03,CUNDINAMARCA,SAN BERNARDO,17.367671691792296,9.5,32.5
53,2015-03,CUNDINAMARCA,SAN CAYETANO,12.682191780821919,7.5,19.9
54,2015-03,CUNDINAMARCA,UBATÉ,14.401706970128021,5.7,25.0
55,2015-03,CUNDINAMARCA,VILLAPINZÓN,9.889435600578873,3.4,18.8
